figure_node,module,repository_path,main_file,function_or_class,input,output,evidence_source,status
Input / Event Ingestion,Input / Event Ingestion,brain-server/src/api/handlers,ingest.ts,runIngestPipeline / handleIngestRoutes,File or capture,"Chunks, entities, assertions",docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT PRODUCT COMMIT
Extraction,Extraction,brain-server/src/graphrag,llm-pipeline.ts,extractEntitiesWithLlm / extraction pipeline,Text chunks,"Entities, relationships, assertions",docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT PRODUCT COMMIT
Memory Storage,Memory Storage,brain-server/src/db,sqlite.ts,SQLiteDatabase methods,Structured memories,SQLite rows and vector indexes,docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT PRODUCT COMMIT
Vector / Text / Assertion / Graph Retrieval,Vector / Text / Assertion / Graph Retrieval,brain-server/src/api/handlers,mcp.ts,unified_memory_search handler,Question/query,Typed retrieval candidates,docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT PRODUCT COMMIT
Fusion,Fusion,brain-server/src/retrieval,fusion.ts,reciprocalRankFuse,Ranked channel lists,Fused candidates,docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT PRODUCT COMMIT
Reranking,Reranking,brain-server/src/api/handlers,mcp.ts,rerankByLlm,Fused/grouped evidence,Reranked groups,docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT PRODUCT COMMIT
Evidence Grouping,Evidence Grouping,brain-server/src/retrieval,evidence-selector.ts,groupFusedEvidence / buildEvidenceGroupPassage,Fused candidates,Evidence groups,docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT PRODUCT COMMIT
Evidence Selector,Evidence Selector,brain-server/src/retrieval,evidence-selector.ts,selectEvidenceSet,Evidence groups + intent,Selected evidence,docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT PRODUCT COMMIT
Answer Top-10,Answer Top-10,brain-server/src/api/handlers,mcp.ts,unified_memory_search response assembly,Selected evidence,Answer context,docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT PRODUCT COMMIT
Answer Generation,Answer Generation,benchmark/cognitive/src,provider.mjs,CognitiveProvider.answer,Question + top evidence,Structured answer,docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT BENCHMARK COMMIT
Provenance Output,Provenance Output,brain-server/src/api/handlers,mcp.ts,retrieval trace/result assembly,Selected evidence,Auditable provenance,docs/omni-context-paper-evidence-v1/architecture/module-to-code-map.csv,VERIFIED AT PRODUCT COMMIT
Benchmark Scoring (Gold),Evaluation boundary,benchmark/cognitive/src,scoring.mjs,scoreScenario / aggregateResults,Structured answer and benchmark Gold,Per-scenario score and category-macro aggregate,docs/omni-context-paper-evidence-v1/metrics/headline-metrics.json,BENCHMARK BOUNDARY — VERIFIED AT BENCHMARK COMMIT
