task_type,factor,validation_values,holdback_values,all_values,note
TT01,F1_evidence_sufficiency,sufficient,sufficient,sufficient,N/A by design for this TT (gold always sufficient)
TT01,F2_evidence_currency,current,current,current,N/A by design for this TT (no expired trap)
TT01,F3_source_consistency,consistent,consistent,consistent,N/A by design for this TT (single-source)
TT01,F4_risk_level,low;medium,low;medium,low;medium,
TT01,F5_reversibility,conditionally_reversible;reversible,conditionally_reversible;reversible,conditionally_reversible;reversible,
TT01,F6_authority,L3;L4;L5,L3;L4;L5,L3;L4;L5,
TT01,F7_approval_required,not_required,not_required,not_required,
TT01,F8_history,absent,absent,absent,
TT01,F9_outcome,none,none,none,
TT01,F10_revision_warranted,n/a,n/a,n/a,N/A by design for this TT (no revision semantics)
TT01,F11_user_override,absent,absent,absent,N/A by design for this TT (override only in TT13)
TT01,F12_agent_disagreement,none,none,none,N/A by design for this TT (single-agent)
TT02,F1_evidence_sufficiency,insufficient,insufficient,insufficient,
TT02,F2_evidence_currency,current,current,current,N/A by design for this TT (no expired trap)
TT02,F3_source_consistency,consistent,consistent,consistent,N/A by design for this TT (single-source)
TT02,F4_risk_level,medium;negligible,medium;negligible,medium;negligible,
TT02,F5_reversibility,conditionally_reversible;reversible,conditionally_reversible;reversible,conditionally_reversible;reversible,
TT02,F6_authority,L3;L4;L5,L3;L4;L5,L3;L4;L5,
TT02,F7_approval_required,not_required,not_required,not_required,
TT02,F8_history,absent,absent,absent,
TT02,F9_outcome,none,none,none,
TT02,F10_revision_warranted,n/a,n/a,n/a,N/A by design for this TT (no revision semantics)
TT02,F11_user_override,absent,absent,absent,N/A by design for this TT (override only in TT13)
TT02,F12_agent_disagreement,none,none,none,N/A by design for this TT (single-agent)
TT03,F1_evidence_sufficiency,insufficient;sufficient,insufficient;sufficient,insufficient;sufficient,
TT03,F2_evidence_currency,current,current,current,N/A by design for this TT (no expired trap)
TT03,F3_source_consistency,consistent,consistent,consistent,N/A by design for this TT (single-source)
TT03,F4_risk_level,low;medium;negligible,low;medium;negligible,low;medium;negligible,
