sample_id,task_type,authority,gold_action,status,detail,contract_ref
decision-bench-v2-val-tt01-000,TT01,L3,DECIDE,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt01-001,TT01,L4,DECIDE,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt01-002,TT01,L5,DECIDE,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt01-003,TT01,L3,DECIDE,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt01-004,TT01,L4,DECIDE,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt01-005,TT01,L3,DECIDE,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt01-006,TT01,L5,DECIDE,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt01-007,TT01,L4,DECIDE,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt02-000,TT02,L3,CLARIFY,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt02-001,TT02,L4,CLARIFY,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt02-002,TT02,L3,CLARIFY,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt02-003,TT02,L5,CLARIFY,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt02-004,TT02,L3,CLARIFY,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt02-005,TT02,L4,CLARIFY,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt02-006,TT02,L3,CLARIFY,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
decision-bench-v2-val-tt02-007,TT02,L5,CLARIFY,PASS,ok,K:195; A decision_right/action_right; F6; P L2-CONFIRM-BEFORE-ACTION
