stage,scenario_id,category,mode,answer_ms,judge_ms,retrieval_ms,total_ms
Targeted-7,development-v2-cognitive_continuity-004,cognitive_continuity,full_omni,6105,0,2669,112123
Targeted-7,development-v2-memory_evolution-003,memory_evolution,full_omni,6317,0,2628,220618
Targeted-7,development-v2-conflict_resolution-004,conflict_resolution,full_omni,3611,0,2654,171869
Targeted-7,development-v2-cross_agent_transfer-004,cross_agent_transfer,full_omni,3084,0,2684,124180
Targeted-7,development-v2-human_like_forgetting-002,human_like_forgetting,full_omni,7448,0,2638,128764
Targeted-7,development-v2-proactive_insight-003,proactive_insight,full_omni,6284,25012,2699,240661
Targeted-7,development-v2-decision_quality-004,decision_quality,full_omni,7411,33001,2661,366056
Development-35,development-v2-cognitive_continuity-001,cognitive_continuity,full_omni,6952,0,188,97537
Development-35,development-v2-cognitive_continuity-002,cognitive_continuity,full_omni,6028,0,2663,222393
Development-35,development-v2-cognitive_continuity-003,cognitive_continuity,full_omni,5033,0,2688,188658
Development-35,development-v2-cognitive_continuity-004,cognitive_continuity,full_omni,7853,0,2676,157953
Development-35,development-v2-cognitive_continuity-005,cognitive_continuity,full_omni,6261,0,152,106181
Development-35,development-v2-memory_evolution-001,memory_evolution,full_omni,3152,0,112,70851
Development-35,development-v2-memory_evolution-002,memory_evolution,full_omni,4564,0,2323,131193
Development-35,development-v2-memory_evolution-003,memory_evolution,full_omni,6043,0,2677,202346
Development-35,development-v2-memory_evolution-004,memory_evolution,full_omni,3048,0,104,95804
Development-35,development-v2-memory_evolution-005,memory_evolution,full_omni,2434,0,108,55801
Development-35,development-v2-conflict_resolution-001,conflict_resolution,full_omni,2858,0,152,59709
Development-35,development-v2-conflict_resolution-002,conflict_resolution,full_omni,5012,0,2695,108988
Development-35,development-v2-conflict_resolution-003,conflict_resolution,full_omni,5677,0,2704,167894
Development-35,development-v2-conflict_resolution-004,conflict_resolution,full_omni,6004,0,172,156874
Development-35,development-v2-conflict_resolution-005,conflict_resolution,full_omni,5156,0,120,70139
Development-35,development-v2-cross_agent_transfer-001,cross_agent_transfer,full_omni,5594,0,142,83348
Development-35,development-v2-cross_agent_transfer-002,cross_agent_transfer,full_omni,4895,0,2715,172588
Development-35,development-v2-cross_agent_transfer-003,cross_agent_transfer,full_omni,4195,0,2672,213128
Development-35,development-v2-cross_agent_transfer-004,cross_agent_transfer,full_omni,6704,0,2663,201574
Development-35,development-v2-cross_agent_transfer-005,cross_agent_transfer,full_omni,6605,0,140,112061
Development-35,development-v2-human_like_forgetting-001,human_like_forgetting,full_omni,8484,0,101,83807
Development-35,development-v2-human_like_forgetting-002,human_like_forgetting,full_omni,5231,0,2686,182471
Development-35,development-v2-human_like_forgetting-003,human_like_forgetting,full_omni,8076,0,2664,201250
Development-35,development-v2-human_like_forgetting-004,human_like_forgetting,full_omni,6900,0,2815,239881
Development-35,development-v2-human_like_forgetting-005,human_like_forgetting,full_omni,6272,0,303,144858
