mode,category,category_label,scenario_count,completed,errors,core_score_mean,core_score_median,minimum,maximum,standard_deviation,key_submetrics,source_file,source_field,extraction_script,validation_status
full_omni,cognitive_continuity,Cognitive Continuity,10,10,0,0.956667,1,0.75,1,0.08,"{""profile_recall"":0.96,""profile_consistency"":1,""constraint_utilization"":0.866667,""personalization_accuracy"":0.913333,""contradiction_rate"":0,""unsupported_personalization_rate"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=cognitive_continuity: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
full_omni,memory_evolution,Memory Evolution,10,10,0,0.897963,1,0.630556,1,0.13324,"{""current_state_accuracy"":1,""historical_state_preservation"":0.96,""temporal_ordering_accuracy"":0.653333,""evolution_interpretation_accuracy"":0.871111,""stale_memory_leakage"":0,""state_transition_accuracy"":0.903333}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=memory_evolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
full_omni,conflict_resolution,Conflict Resolution,10,10,0,0.788889,0.833333,0.388889,0.833333,0.133333,"{""conflict_resolution_accuracy"":0.933333,""latest_valid_fact_accuracy"":0.9,""historical_query_accuracy"":0.9,""invalidated_fact_rejection"":0.9,""conflict_disclosure_accuracy"":0.1,""unsupported_resolution_rate"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=conflict_resolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
full_omni,cross_agent_transfer,Cross-Agent Transfer,10,10,0,0.994444,1,0.944444,1,0.016667,"{""cross_agent_recall"":1,""cross_agent_consistency"":1,""update_propagation_accuracy"":1,""provenance_preservation"":0.966667,""agent_isolation_error_rate"":0,""stale_transfer_rate"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=cross_agent_transfer: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
full_omni,human_like_forgetting,Human-like Forgetting,10,10,0,0.886111,0.972222,0.555556,1,0.148267,"{""salient_memory_retention"":1,""noise_suppression"":0.9,""false_forgetting_rate"":0,""stale_retention_rate"":0.133333,""memory_precision"":0.95,""memory_compression_ratio"":null,""invalidation_accuracy"":0.6}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=human_like_forgetting: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
full_omni,proactive_insight,Proactive Insight,10,10,0,0.8,0.78125,0.6875,0.9375,0.103833,"{""insight_precision"":0.825,""insight_recall"":0.675,""blind_spot_detection_rate"":0.8,""constraint_awareness"":0.65,""actionability"":0.7,""unsupported_claim_rate"":0.025,""redundant_insight_rate"":0.15,""overreach_rate"":0.075}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=proactive_insight: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
full_omni,decision_quality,Decision Quality,10,10,0,0.770815,0.787037,0.537037,0.87963,0.102224,"{""constraint_coverage"":0.85,""goal_alignment"":0.775,""personalization"":0.783333,""option_comparison_quality"":0.775,""risk_awareness"":0.675,""actionability"":0.725,""internal_consistency"":0.825,""unsupported_assumption_rate"":0.15,""overall_decision_quality"":0.679}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=decision_quality: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
retrieval_only,cognitive_continuity,Cognitive Continuity,10,10,0,0.616667,0.616667,0.55,0.733333,0.049441,"{""profile_recall"":0.3,""profile_consistency"":1,""constraint_utilization"":0.166667,""personalization_accuracy"":0.233333,""contradiction_rate"":0,""unsupported_personalization_rate"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=cognitive_continuity: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
retrieval_only,memory_evolution,Memory Evolution,10,10,0,0.40713,0.384259,0.208333,0.648148,0.200594,"{""current_state_accuracy"":0.5,""historical_state_preservation"":0.22,""temporal_ordering_accuracy"":0.033333,""evolution_interpretation_accuracy"":0.251111,""stale_memory_leakage"":0,""state_transition_accuracy"":0.438333}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=memory_evolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
retrieval_only,conflict_resolution,Conflict Resolution,10,9,1,0.32716,0.222222,0.222222,0.611111,0.160256,"{""conflict_resolution_accuracy"":0.407407,""latest_valid_fact_accuracy"":0,""historical_query_accuracy"":0,""invalidated_fact_rejection"":0.222222,""conflict_disclosure_accuracy"":0.333333,""unsupported_resolution_rate"":0}",<LOCAL_EVIDENCE_ROOT>/13-comparison-70/results.jsonl,latest terminal records where category=conflict_resolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
