evaluation,category,category_label,scenario_count,completed,errors,core_score_mean,core_score_median,minimum,maximum,standard_deviation,key_submetrics,source_file,source_field,extraction_script,validation_status
Development-35,cognitive_continuity,Cognitive Continuity,5,5,0,0.916667,1,0.75,1,0.105409,"{""profile_recall"":1,""profile_consistency"":1,""constraint_utilization"":0.666667,""personalization_accuracy"":0.833333,""contradiction_rate"":0,""unsupported_personalization_rate"":0}",<LOCAL_EVIDENCE_ROOT>/07-development-35/results.jsonl,latest terminal records where category=cognitive_continuity: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
Development-35,memory_evolution,Memory Evolution,5,5,0,0.856746,0.811508,0.736111,1,0.120163,"{""current_state_accuracy"":1,""historical_state_preservation"":1,""temporal_ordering_accuracy"":0.457143,""evolution_interpretation_accuracy"":0.819048,""stale_memory_leakage"":0,""state_transition_accuracy"":0.864286}",<LOCAL_EVIDENCE_ROOT>/07-development-35/results.jsonl,latest terminal records where category=memory_evolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
Development-35,conflict_resolution,Conflict Resolution,5,5,0,0.833333,0.833333,0.833333,0.833333,0,"{""conflict_resolution_accuracy"":1,""latest_valid_fact_accuracy"":1,""historical_query_accuracy"":1,""invalidated_fact_rejection"":1,""conflict_disclosure_accuracy"":0,""unsupported_resolution_rate"":0}",<LOCAL_EVIDENCE_ROOT>/07-development-35/results.jsonl,latest terminal records where category=conflict_resolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
Development-35,cross_agent_transfer,Cross-Agent Transfer,5,5,0,1,1,1,1,0,"{""cross_agent_recall"":1,""cross_agent_consistency"":1,""update_propagation_accuracy"":1,""provenance_preservation"":1,""agent_isolation_error_rate"":0,""stale_transfer_rate"":0}",<LOCAL_EVIDENCE_ROOT>/07-development-35/results.jsonl,latest terminal records where category=cross_agent_transfer: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
Development-35,human_like_forgetting,Human-like Forgetting,5,5,0,0.927778,1,0.694444,1,0.118634,"{""salient_memory_retention"":1,""noise_suppression"":0.933333,""false_forgetting_rate"":0,""stale_retention_rate"":0.133333,""memory_precision"":0.966667,""memory_compression_ratio"":null,""invalidation_accuracy"":0.8}",<LOCAL_EVIDENCE_ROOT>/07-development-35/results.jsonl,latest terminal records where category=human_like_forgetting: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
Development-35,proactive_insight,Proactive Insight,5,5,0,0.875,0.875,0.78125,0.96875,0.0625,"{""insight_precision"":0.8,""insight_recall"":0.75,""blind_spot_detection_rate"":0.85,""constraint_awareness"":0.9,""actionability"":0.75,""unsupported_claim_rate"":0.05,""redundant_insight_rate"":0,""overreach_rate"":0}",<LOCAL_EVIDENCE_ROOT>/07-development-35/results.jsonl,latest terminal records where category=proactive_insight: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
Development-35,decision_quality,Decision Quality,5,5,0,0.78437,0.796296,0.685185,0.857037,0.067248,"{""constraint_coverage"":0.9,""goal_alignment"":0.75,""personalization"":0.733333,""option_comparison_quality"":0.9,""risk_awareness"":0.7,""actionability"":0.8,""internal_consistency"":0.75,""unsupported_assumption_rate"":0.15,""overall_decision_quality"":0.676}",<LOCAL_EVIDENCE_ROOT>/07-development-35/results.jsonl,latest terminal records where category=decision_quality: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
Formal-250,cognitive_continuity,Cognitive Continuity,40,40,0,0.936667,1,0.633333,1,0.107832,"{""profile_recall"":0.93,""profile_consistency"":1,""constraint_utilization"":0.816667,""personalization_accuracy"":0.873333,""contradiction_rate"":0,""unsupported_personalization_rate"":0}",<LOCAL_EVIDENCE_ROOT>/12-formal-250/results.jsonl,latest terminal records where category=cognitive_continuity: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
Formal-250,memory_evolution,Memory Evolution,40,38,2,0.852866,0.868056,0.419444,1,0.159146,"{""current_state_accuracy"":0.947368,""historical_state_preservation"":0.97051,""temporal_ordering_accuracy"":0.524561,""evolution_interpretation_accuracy"":0.814146,""stale_memory_leakage"":0,""state_transition_accuracy"":0.86061}",<LOCAL_EVIDENCE_ROOT>/12-formal-250/results.jsonl,latest terminal records where category=memory_evolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
Formal-250,conflict_resolution,Conflict Resolution,40,40,0,0.8125,0.833333,0.388889,0.833333,0.080208,"{""conflict_resolution_accuracy"":0.975,""latest_valid_fact_accuracy"":0.975,""historical_query_accuracy"":0.95,""invalidated_fact_rejection"":0.95,""conflict_disclosure_accuracy"":0.025,""unsupported_resolution_rate"":0}",<LOCAL_EVIDENCE_ROOT>/12-formal-250/results.jsonl,latest terminal records where category=conflict_resolution: $.score.core_score and $.score.metrics,validation/extract_evidence.mjs,VERIFIED
