evaluation,mode,category,score
Development-35,full_omni,cognitive_continuity,0.916667
Development-35,full_omni,memory_evolution,0.856746
Development-35,full_omni,conflict_resolution,0.833333
Development-35,full_omni,cross_agent_transfer,1
Development-35,full_omni,human_like_forgetting,0.927778
Development-35,full_omni,proactive_insight,0.875
Development-35,full_omni,decision_quality,0.78437
Formal-250,full_omni,cognitive_continuity,0.936667
Formal-250,full_omni,memory_evolution,0.852866
Formal-250,full_omni,conflict_resolution,0.8125
Formal-250,full_omni,cross_agent_transfer,1
Formal-250,full_omni,human_like_forgetting,0.884722
Formal-250,full_omni,proactive_insight,0.770833
Formal-250,full_omni,decision_quality,0.808235
Comparison-70,full_omni,cognitive_continuity,0.956667
Comparison-70,full_omni,memory_evolution,0.897963
Comparison-70,full_omni,conflict_resolution,0.788889
Comparison-70,full_omni,cross_agent_transfer,0.994444
Comparison-70,full_omni,human_like_forgetting,0.886111
Comparison-70,full_omni,proactive_insight,0.8
Comparison-70,full_omni,decision_quality,0.770815
Comparison-70,retrieval_only,cognitive_continuity,0.616667
Comparison-70,retrieval_only,memory_evolution,0.40713
Comparison-70,retrieval_only,conflict_resolution,0.32716
Comparison-70,retrieval_only,cross_agent_transfer,0.755556
Comparison-70,retrieval_only,human_like_forgetting,0.669444
Comparison-70,retrieval_only,proactive_insight,0.4875
Comparison-70,retrieval_only,decision_quality,0.602963
Comparison-70,no_memory,cognitive_continuity,0.5
Comparison-70,no_memory,memory_evolution,0.208333
Comparison-70,no_memory,conflict_resolution,0.222222
Comparison-70,no_memory,cross_agent_transfer,0.5
Comparison-70,no_memory,human_like_forgetting,0.416667
Comparison-70,no_memory,proactive_insight,0.4
Comparison-70,no_memory,decision_quality,0.305556
