claim_id,allowed_wording,forbidden_wording,paper_section,source,status
MC01,"On internal Development-35, Full Omni scored 0.884842 versus 0.563853 Retrieval-only and 0.366713 No Memory.",Do not generalize beyond the internal Synthetic Curated Benchmark.,Results,docs/omni-context-paper-evidence-v1/metrics/development-35-summary.json,VERIFIED
MC02,Formal-250 completed 248/250 with two errors and category-macro Overall 0.866546 over completed records.,Do not write 250/250 or omit errors.,Results,docs/omni-context-paper-evidence-v1/metrics/formal-250-summary.json,VERIFIED
MC03,Comparison-70 Full Omni completed 70/70 at 0.870698; Retrieval-only completed 69/70 at 0.552346; No Memory completed 70/70 at 0.364683.,Do not write Retrieval-only as 70/70 or call modes strict component ablations.,Results,docs/omni-context-paper-evidence-v1/metrics/comparison-70-summary.json,VERIFIED
MC04,Frozen retrieval preflight Top-10 slot coverage changed from 20/38 before the general fix to 37/38 after it.,Do not claim universal retrieval recall improvement.,Analysis,docs/omni-context-paper-evidence-v1/architecture/final-product-fix.md,VERIFIED
MC05,"Runtime preflight attested the frozen product commit, build, selector, local embedding hash, and 1024-dimensional output.",Do not claim attestation covers unrecorded environments.,Method,docs/omni-context-paper-evidence-v1/architecture/runtime-attestation.md,VERIFIED
MC06,Deterministic rescoring covered 105 records with zero scoring differences.,Do not extend this to provider determinism.,Experiments,docs/omni-context-paper-evidence-v1/metrics/headline-metrics.json,VERIFIED
MC07,The attribution review found zero scoring defects.,Do not state that all benchmark design risks were eliminated.,Analysis,docs/omni-context-paper-evidence-v1/metrics/headline-metrics.json,VERIFIED
MC08,Unresolved P0 count was zero at freeze.,Do not omit the two unresolved P1 classes.,Limitations,docs/omni-context-paper-evidence-v1/metrics/headline-metrics.json,VERIFIED
MC09,Formal retained two Answer JSON truncation errors after three attempts each.,Do not impute scores or describe Formal as fully complete.,Limitations,docs/omni-context-paper-evidence-v1/cases/failure-cases.md,VERIFIED
MC10,Comparison retained one Retrieval-only empty-source-IDs error after three attempts.,Do not attribute this baseline error to Full Omni product capability.,Limitations,docs/omni-context-paper-evidence-v1/cases/failure-cases.md,VERIFIED
MC11,Selector and Evidence Group ablations were not run because no existing safe switch was available.,Do not call mode comparisons strict component ablations.,Limitations,docs/omni-context-paper-evidence-v1/reproducibility/known-limitations.md,VERIFIED
MC12,LoCoMo was NOT RUN; Candidate v3.1 lacked bound held-out authorization and Conversation 2--10 remained unaccessed.,Do not report a LoCoMo score.,Limitations,docs/omni-context-paper-evidence-v1/reproducibility/known-limitations.md,VERIFIED
MC13,Reported scores primarily use the project-built Synthetic Curated Benchmark.,Do not claim universal SOTA.,Benchmark,docs/omni-context-paper-evidence-v1/reproducibility/known-limitations.md,VERIFIED
MC14,External validity remains to be established through an authorized held-out benchmark.,Do not imply held-out validation has already occurred.,Limitations,docs/omni-context-paper-evidence-v1/reproducibility/known-limitations.md,VERIFIED
